Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
21739,54 lb C2S SL1/SL4 Liner-W5.75,54 lb C2S SL1/SL4 Liner,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"3.2 mil 54 lb, C2S SL1/SL4 Easy/Medium Release Liner",TRUE,0.0239085,"Channeled Resources, Inc. (GMC Coatings)",3277,The Strouse Corporation,TRUE,0.0239085,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21740,PF-4-W24 - CatID-21740,PF-4,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"Foam, .055"", C-Foam, PF-4 Closed cell.",TRUE,1.208333333,PPG Aerospace Cuming Microwave,3763,The Strouse Corporation,TRUE,1.208333333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21747,9469PC-W48.5,9469PC,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"5 mil, 100MP, 58# PCK- LOG",TRUE,8.443060556,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,8.443060556,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21748,9469PC-W11.5,9469PC,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"5 mil, 100MP, 58# PCK- LOG",TRUE,2.001962222,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,2.001962222,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21750,XP-3771-11-W10,XP-3771-11,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - silicone adhesive,TRUE,0,"Nourisse Naturals,  LLC",3674,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21751,140718-W18,140718,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,35# green masking paper,TRUE,0.03295,Kardol LLC,3350,The Strouse Corporation,TRUE,0.03295,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21752,TRPV0014-W37,TRPV0014,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - .3mm thick clear PVC,TRUE,0,Terumo Medical,3662,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21753,TRPV0016-W36.6,TRPV0016,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - .5mm thick clear PVC,TRUE,0,Terumo Medical,3662,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21754,C748135-W0.748,C748135,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"Plastic Cores, ABS, 6.04"" ID x 0.135"" Wall.",TRUE,,NorthCore Industries,3284,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21755,FUB5P14-NZ-W11.875,FUB5P14-NZ,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"CSM - 5lb. SUP W/Zip Clear/Black 500PCS/56L 
Size: 11-7/8""W x 6-1/8""G x 19""H ",TRUE,,"Nelson Innovations, LLC",3740,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21757,"10"" I.D-W3.7","10"" I.D","Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"10.0"" I.D. X 0.375""  Brown / Brown cores, knife cut",TRUE,0,OX Paper Tube & Core Co,3296,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21758,15135215-W2.25,15135215,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"Plastic Core, PP, 6.03 I.D., 0.155"" wall Natural",TRUE,,Sonoco Plastics,3323,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21759,SG-2010,SG-2010,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - SG Kickstand for adhesive application ,TRUE,,Rugged Logic Inc,3639,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21760,SG-2022,SG-2022,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - SG Kickstand for adhesive application ,TRUE,,Rugged Logic Inc,3639,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21761,4919F-W10,4919F,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"4919F, Closed-cell Acrylic Foam Tape, 25 mil, Double coated, Pressure Sensitive",TRUE,7.667830093,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,7.667830093,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
