Internal ID,Internal ID,Name,Legacy Vendor ID,Acount Number
3039,3039,JMJ PHILLIP GROUP LLC,32001,32001
3040,3040,"JOB SHOP SHOWS, INC.","3,307,643,076",33076
3041,3041,JOHNSTONE SUPPLY,40017,40017
3042,3042,JOMORY INC.,40047,40047
3043,3043,JONESVILLE PAPER TUBE CORP.,30244,30244
3044,3044,"JUST PACKAGING, INC.",30076,30076
3045,3045,K M K K B LLC.,30216,30216
3048,3048,"K&L GATES, LLP.",30199,30199
3046,3046,K. C. MACHINE,41537,41537
3047,3047,"K.H. AHLBORN, INC.","3,307,840,031",33078
3049,3049,KADANT JOHNSON LLC.,30098,30098
3050,3050,KAMAN BEARING & SUPPLY,41341,41341
3051,3051,"KAMAN FLUID POWER,LLC",30134,30134
3052,3052,KANO LABORATORIES,"3,188,941,889",31889
3053,3053,KAREN'S FLOWERS,33043,33043
3054,3054,KATTEN MUCHIN ROSENMAN LLP,30543,30543
3055,3055,KB SEARCH TEAM,30382,30382
3056,3056,KELBURN ENGINEERING,33066,33066
3057,3057,KELCO INDUSTRIES,"3,120,841,208",31208
3058,3058,KELLERMEYER CO.,40025,40025
3059,3059,KELLOGG COMMUNITY COLLEGE,30090,30090
3060,3060,KEN SPECIALTIES,"3,003,640,043",30036
3061,3061,KENDALL ELECTRIC,41235,41235
3062,3062,KENDALL ELECTRIC INC.,32098,32098
3063,3063,KENDALLVILLE PUBLISHING CO.,42835,42835
3064,3064,"KENN-FELD GROUP, LLC.",31110,31110
3065,3065,KEYENCE CORP. OF AMERICA,30092,30092
3066,3066,KING ELECTRIC SUPPLY INC.,31501,31501
3067,3067,KLEBE'S LAWN CARE,31687,31687
3068,3068,"KLEEN POLYMERS, INC.",32192,32192
3069,3069,KMH SYSTEMS,33031,33031
3070,3070,KOONTZ-WAGNER ELECTRIC CO.,31332,31332
3071,3071,"KOORSEN FIRE & SECURITY, INC.",31564,31564
3072,3072,KROY LLC,30053,30053
