externalid,binnumber,location,Concat
Z1A2,Z1A2,Houston,Z1A2Houston
Z1A3,Z1A3,Houston,Z1A3Houston
Z1A4,Z1A4,Houston,Z1A4Houston
Z1A5,Z1A5,Houston,Z1A5Houston
Z1B,Z1B,Haughton,Z1BHaughton
Z1B1,Z1B1,Haughton,Z1B1Haughton
Z1B1,Z1B1,Houston,Z1B1Houston
Z1B2,Z1B2,Houston,Z1B2Houston
Z1B3,Z1B3,Houston,Z1B3Houston
Z1B4,Z1B4,Houston,Z1B4Houston
Z1C,Z1C,Haughton,Z1CHaughton
Z1C1,Z1C1,Houston,Z1C1Houston
Z1C2,Z1C2,Houston,Z1C2Houston
Z1C3,Z1C3,Houston,Z1C3Houston
Z1C4,Z1C4,Houston,Z1C4Houston
Z1C5,Z1C5,Houston,Z1C5Houston
Z1D,Z1D,Haughton,Z1DHaughton
Z1D1,Z1D1,Houston,Z1D1Houston
Z1D2,Z1D2,Houston,Z1D2Houston
Z1D3,Z1D3,Houston,Z1D3Houston
Z1E,Z1E,Haughton,Z1EHaughton
Z1E1,Z1E1,Houston,Z1E1Houston
Z1E2,Z1E2,Houston,Z1E2Houston
Z1F,Z1F,Haughton,Z1FHaughton
Z1G,Z1G,Haughton,Z1GHaughton
Z1H,Z1H,Haughton,Z1HHaughton
Z2A,Z2A,Haughton,Z2AHaughton
Z2A1,Z2A1,Houston,Z2A1Houston
Z2A2,Z2A2,Houston,Z2A2Houston
Z2B,Z2B,Haughton,Z2BHaughton
Z2B1,Z2B1,Houston,Z2B1Houston
Z2B2,Z2B2,Houston,Z2B2Houston
Z2B4,Z2B4,Houston,Z2B4Houston
Z2C,Z2C,Haughton,Z2CHaughton
Z2C1,Z2C1,Houston,Z2C1Houston
Z2C2,Z2C2,Houston,Z2C2Houston
Z2C4,Z2C4,Houston,Z2C4Houston
Z2D,Z2D,Haughton,Z2DHaughton
Z2D1,Z2D1,Houston,Z2D1Houston
Z2D2,Z2D2,Houston,Z2D2Houston
Z2E,Z2E,Haughton,Z2EHaughton
Z2E1,Z2E1,Houston,Z2E1Houston
Z2E2,Z2E2,Houston,Z2E2Houston
Z2F,Z2F,Haughton,Z2FHaughton
Z2G,Z2G,Haughton,Z2GHaughton
Z2H,Z2H,Haughton,Z2HHaughton
Z3A1,Z3A1,Houston,Z3A1Houston
Z3A2,Z3A2,Houston,Z3A2Houston
Z3B1,Z3B1,Houston,Z3B1Houston
Z3B2,Z3B2,Houston,Z3B2Houston
