Reference #,Adjustment Account,Date,Posting Period,Memo,Item Name Number,Vlookup,ID,Item Display Name,Location,Units,Adjust Qty By,Est. Unit Cost,Subtotal,Memo,Internal ID
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-01C,1,674,,BM Nagano,,1105,8.15,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-032,1,570,,BM Nagano,,1116,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCB-00F,1,407,,BM Nagano,,1196,20,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-011,1,456,,BM Nagano,,1200,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-007,1,253,,BM Nagano,,1222,0.56,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MNT-022,1,364,,BM Nagano,,1222,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-03B,1,577,,BM Nagano,,1232,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-010,1,425,,BM Nagano,,1300,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-024,1,1183,,BM Nagano,,1316,0.3,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-023,1,1182,,BM Nagano,,1392,0.3,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-012,1,872,,BM Nagano,,1444,0.0091,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-01A,1,268,,BM Nagano,,1469,0.591,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-03E,1,489,,BM Nagano,,1506,0.45,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCB-012,1,409,,BM Nagano,,1524,0.065,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-REG-01E,1,523,,BM Nagano,,1605,5.367,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-00B,1,536,,BM Nagano,,1607,0.0014,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-008,1,254,,BM Nagano,,1616,0.11,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-02B,1,1188,,BM Nagano,,1673,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-012,1,1094,,BM Nagano,,1753,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-BAT-004,1,35,,BM Nagano,,1762,0.4,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-099,1,607,,BM Nagano,,1791,0.00243,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCB-00B,1,403,,BM Nagano,,1801,0.86,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-042,1,491,,BM Nagano,,1802,0.01,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-014,1,428,,BM Nagano,,1847,1.7,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-02C,1,476,,BM Nagano,,1886,0.05,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-049,1,588,,BM Nagano,,1950,0.0013,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-05B,1,1538,,BM Nagano,,2000,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MOS-014,1,382,,BM Nagano,,2000,0.03,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-033,1,65,,BM Nagano,,2015,0.0023,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-005,1,140,,BM Nagano,,2019,0.13,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MCU-010,1,344,,BM Nagano,,2026,3.976,,,4774
